age_key,Country_Territory,On-premise,Off-premise,Notes,Legislation
88,Lesotho,18,18,,Liquor Licensing Act 1997 Sec 39
89,Liberia,18,18,,"Penal Law of 1976 Sec 16, 50.7"
90,Libya,[all sale is prohibited],[all sale is prohibited],,Law No 4 of 1423 m Art 1
91,Liechtenstein,[varies by beverage],[varies by beverage],18 for spirits and alcopops; 16 for other alcoholic beverages,Children and Youth Act 2008 Art 69
92,Lithuania,18,18,,Law on Alcohol Control I-857/1995 and Amendment XI-1179/2010 Art 3(5)
93,Luxembourg,16,16,,
94,Macedonia,18,18,,Law on Trade
95,Malawi,18,18,,"Liquor Act Sec 2, 74"
96,Malaysia,[varies by religion],[varies by religion],sale to Muslims is prohibited; 21 otherwise for on- and off-premise,"Food Act Regulation 1985/361 as updated through 2014 Art 4, State and Federal Territories Syariah Criminal Offences Enactments"
97,Maldives,[all sale is prohibited],[all sale is prohibited],sale to citizens is prohibited,Penal Code Law No. 6/2014 Sec 616
98,Mali,[none],[none],,[n/a]
